VIBRANT,EXPLORE,LAID.BACK,REMORSEFUL,COMFORTING,LEVEL.HEADED,INSOCIALABLE,PRIORITIZABLE,SELF-ASSERTING,TEAM.PLAYER,DETAIL.ORIENTED,AFFECTIONATE,METHODICAL,REGRETFUL,INTROVERT,INDECISIVE,COMPOSED,SOCIALABLE,FANTASTICAL,SELFISH,GOAL.ORIENTED,SELF.DOUBT,NON-APPROACHABLE,NON-PHILOSOPHICAL,VULNERABLE,BUSTLING,VISIONARY,EMOTIONALLY.CHARGED,SENSE.EXPERIENCED,REVENGEFUL,IMPETUOUS,LONE-WOLF,SENTIMENTAL,DECISIVE,IMPENITENT,QUIET,FOCUSED.PRESENT,INSENSITIVE,PROACTIVE,INSECURE,APPROACHABLE,UNSTRUCTURED,MOODY,PHILOSOPHICAL,SENSITIVE,UNREPENTANT,REALIST,EMPATHIC,EMOTIONAL,CONFIDENT
,2.3,3.5,2,8,7.4,3.87,4.3,5.4,1.5,1.6,6.5,8.23232,10,4.3,7.8,3.4,8.4,5.4,8.6,5.4,7.6,3.2,3.3,,2.3,9.2,3.4,1.2,5.6,,2.3,2.3,8.7,4.3,8.5,1.4,6.32,7.6,3.2,1.654,9.64,5.7,8.5656,1.34,4.64,3.365,3.2,,7.4
7.2,5,4.3,8.5,3.8,5.2,7.4,8.9,6,1,2.6,7.6,2.6,5.2,5,4.9,8,1.5,10,4.6,4,3.6,4,10,5,4,8,1,9.8,7.9,6.3,7.9,2.5,4.5,1,10,8.43,5,9.998,1,4.6,6.9,5.5,1.2,2.3,3.5,7.8,1.1,1.1,5
8,9,10,1,1.2,,0,10,0,10,0,0,0,0,0,10,,10,10,10,7,,0,0,10,10,10,10,0,10,0,4.2,10,1.4,10,5,1.4,,1,0,5,8..1,10,0,10,2.1,8.5,0,0,0.9
5,4,7.5,9.5,7.5,5,10,6,3,0,3,5,1,1,10,5,6,1,9,1,2,4,10,2,8,3,7,7,5,2,4,4,2,3,6,6,5,2,3,,3,5,8,9,6,5,5,6,8,4
5.3,4.8,1.7,9.6,6.4,8.6,5.2,9.1,1.2,2.3,8.9,7.3,9.4,8.6,7.1,8.5,6.2,3.2,1.2,1,6.4,8.9,8.2,1,8.9,5.3,7.1,6.5,6.2,1.2,1.4,5.1,9.9,5.5,1.9,7.7,6.9,2.3,8.2,9.9,1.3,6.3,4.2,8.7,6.8,3.6,9.6,7.7,2.2,1.5
7,5.6,7.2,7.3,4.3,3.4,9.999999999,1,2.3,9.99,3.522,8.9,8,7.777,8.8,4,1,2,5,8,4,8,9,8,4,9,9,8,6,3,2,2,3,10,1,5,9,3,8,8,7,9,9,6,9.9,5,8,8,9,3
6.1,3.5,7.8,7.8,2,6.5,2.5,8.5,4.5,4.5,3.3,4.5,7.3,2.2,3.9,6.3,8.2,7.1,2.2,7.5,7.5,4.5,4.3,5.6,9.9,3.1,3.6,4.5,7.8,6.8,7.1,4.2,4.5,5.2,7.1,7.2,8.2,2.1,4.2,3.2,6.2,2.3,3.7,5.2,1,6.2,7.2,2.2,3.5,5.1
5,10,5.5,3,7,3,5.5,,8,1,9.9,10,7,10,4,1,5,1,8,3,1,1,8,1,1.1,10,9,7,4,9.9,6,10,8,8,6,7,4,1,3,1,2,10,5,9.9,4,3,4,4,3,1
6,8,1,8.88,7.1,6.6,7,8,5,1.1,8.7,9,7.8,8.9,9,8,6.6,2,0.01,1.1,6,7,8,3,3,,9.9,8.7,4.4,7,7,5,9.9,8.8,4.5,7.9,6.6,4,6,3,2.2,7.7,3,8.1,2.4,5.1,3,7.7,2.1,8
5.1,5.5,1,8.8,5.55,9.55,1.11111,9.5,7.5,0.111,1,10,7.5,2.2,5.5,9.9,8,8.8,10,1,8.8,8.8,8,8.8,10,1,9.9,9.9,5.5,10,3.3,5,10,9.9,8,10,10,1.5,5.6,5.6,6.5,8.5,5.5,2.5,7.5,10,2.2,,5,9.9
6,5,7,7.5,5,6,5,8,6.5,3,8,9,7.8,5.5,5,4,4.5,3,3,1,6,8,8.9,5,,6,6,5,5,1.5,5,4,5,6,5,9,6,3,6,8,9.6,6,5,6,5,8,5,6,,5
6.8,2.3,10,8,5,5.99999,8.88,10,8.88,9.99,1,8.1,6.6,8.88,7.77,5.5,3,1,3.33,2.22,8.88,8.8,8.8,7.77,5.55,10,8.88,4.55,9.99,4.1,8.88,9.99,4.55,4.1,,9,9.99,2.22,7,3,7,8,7,8,8,4,4,6,7,5
10,10,6,10,3.1415927,8,1,10,2,1,5,10,7,10,10,10,6,10,10,1,8,7,1,1,8,5,10,8,1,1,6,4,10,1,1,10,5,1,8,8,10,10,10,10,10,5,4,10,6,10
6,3.5,9.8,7.2,8.2,5.1,1.5,3.8,2.5,4.1,9.999,3.3,8.7,7.3,9.7,9.8,3.4,7.8,2.1,0.5,8.3,9.7,7.1,1.2,2.1,4.5,6.4,3.4,7.6,0.3,5.3,4.4,2.1,2.4,1.1,7.7,6.7,4.5,9.8,7.3,2.1,5.1,3.1,2.5,9.7,3.4,7.8,9.5,1.5,4.5
9,3.9,1.8,8.6,2.6,1.5,9.4,9.3,5.2,8.2,7.2,9.1,9.9,8.8,8.7,4.7,3.6,4.6,8.5,1.4,9.4,9.3,4.2,5.5,6.6,9.7,9.8,6.9,1,6.1,5.2,1.3,2.4,8.5,7.6,8.7,8.8,2.9,8,9.1,4.2,6.3,7.4,8.5,9.6,4.7,9.8,9.9,3,9.1
